"Nombre_plataforma","Nombre","id","latitud","longitud","linea_1","linea_2","linea_3","orden_linea_1","orden_linea_2","orden_linea_3","orden_linea_1_subida","orden_linea_1_bajada","orden_linea_2_subida","orden_linea_2_bajada","orden_linea_3_subida","orden_linea_3_bajada","sentido","L1_horario_1er_servicio_D","L1_horario_1er_servicio_L_V","L1_horario_1er_servicio_S","L2_horario_1er_servicio_D","L2_horario_1er_servicio_L_V","L2_horario_1er_servicio_S","L3_horario_1er_servicio_D","L3_horario_1er_servicio_L_V","L3_horario_1er_servicio_S"
"Ambulatorio Luis de Toro_bajada","Ambulatorio Luis de Toro",1,40.0330755,-6.0847262,1,1,0,18,12,NA,NA,NA,NA,NA,NA,NA,0,"07:46:00","07:46:00","07:46:00","10:16:00","08:16:00","08:06:00",NA,NA,NA
"Av. España-Cementerio_subida","Av. España-Cementerio",4,40.020742,-6.098653,1,0,1,6,NA,4,NA,NA,NA,NA,NA,NA,1,"07:36:00","07:36:00","07:36:00",NA,NA,NA,"07:24:00","07:19:00","08:04:00"
"Avda. de la Vera_subida","Avda. de la Vera",7,40.0314103,-6.0844593,0,0,1,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:31:00","07:26:00","08:11:00"
"Ambulatorio Luis de Toro_subida","Ambulatorio Luis de Toro",2,40.0330275,-6.0846439,1,1,0,13,6,NA,NA,NA,NA,NA,NA,NA,1,"07:48:00","07:48:00","07:48:00","09:49:00","07:49:00","07:39:00",NA,NA,NA
"Av. España-Cementerio_bajada","Av. España-Cementerio",3,40.020653,-6.098886,1,0,1,25,NA,24,NA,NA,NA,NA,NA,NA,0,"07:53:00","07:53:00","07:53:00",NA,NA,NA,"08:13:00","08:08:00","08:53:00"
"Avda. de España_bajada","Avda. de España",5,40.023413,-6.096426,1,0,1,24,NA,23,NA,NA,NA,NA,NA,NA,0,"07:52:00","07:52:00","07:52:00",NA,NA,NA,"08:12:00","08:07:00","08:52:00"
"Avda. de España_subida","Avda. de España",6,40.0225066,-6.0969302,1,0,1,7,NA,5,NA,NA,NA,NA,NA,NA,1,"07:37:00","07:37:00","07:37:00",NA,NA,NA,"07:25:00","07:20:00","08:05:00"
"Avda. Juan Carlos I_subida","Avda. Juan Carlos I",11,40.0353323,-6.0852019,0,1,0,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:53:00","07:53:00","07:43:00","07:40:00","07:35:00","08:20:00"
"Avda. del Valle_bajada","Avda. del Valle",8,40.0296621,-6.0856836,0,0,1,NA,NA,18,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"08:06:00","08:01:00","08:46:00"
"Avda. Extremadura_bajada","Avda. Extremadura",9,40.0388363,-6.0915269,0,1,1,NA,6,9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:10:00","08:10:00","08:00:00","07:55:00","07:50:00","08:35:00"
"Barrio El Pilar_bajada","Barrio El Pilar",13,40.0372947,-6.0898914,0,1,0,NA,8,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:12:00","08:12:00","08:02:00","07:53:00","07:48:00","08:33:00"
"Avda. Salamanca_bajada","Avda. Salamanca",12,40.0393043,-6.0922488,0,1,1,NA,5,5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:09:00","08:09:00","07:59:00","07:53:00","07:48:00","08:33:00"
"Avda. Extremadura_subida","Avda. Extremadura",10,40.0389235,-6.0913562,0,1,1,NA,13,20,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:58:00","07:58:00","07:48:00","07:40:00","07:35:00","08:20:00"
"Barrio El Pilar_subida","Barrio El Pilar",14,40.0371679,-6.08989169,0,1,0,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:56:00","07:56:00","07:46:00",NA,NA,NA
"Bomberos_bajada","Bomberos",15,40.002944,-6.1162133,1,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,0,"08:01:00","08:01:00","08:01:00",NA,NA,NA,NA,NA,NA
"Calle Cabezabellosa_subida","Calle Cabezabellosa",18,40.0357621,-6.0827834,0,1,0,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:51:00","07:51:00","07:41:00","07:26:00","07:21:00","08:06:00"
"Carretera Trujillo_bajada","Carretera Trujillo",22,40.0149883,-6.100586,0,0,1,NA,NA,26,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"10:21:00","08:21:00","08:11:00","08:15:00","08:10:00","08:55:00"
"Cañón de la Salud_bajada","Cañón de la Salud",21,40.0273214,-6.0935307,0,1,0,NA,16,NA,NA,NA,NA,NA,NA,NA,0,"07:30:00","07:30:00","07:30:00","10:21:00","08:21:00","08:11:00",NA,NA,NA
"Carretera Trujillo_subida","Carretera Trujillo",23,40.0150682,-6.1007182,0,0,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:22:00","07:17:00","08:02:00"
"C. salud San Miguel_subida","C. salud San Miguel",17,40.0254695,-6.094937,1,1,1,8,1,6,NA,NA,NA,NA,NA,NA,1,"07:39:00","07:39:00","07:39:00","09:38:00","07:38:00","07:28:00","07:26:00","07:21:00","08:06:00"
"Calle San Cristóbal_bajada","Calle San Cristóbal",19,40.0264565,-6.097684,0,1,0,NA,21,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:33:00","07:33:00","07:23:00",NA,NA,NA
"Catedral_subida","Catedral",25,40.027759,-6.090329,1,1,1,10,3,8,NA,NA,NA,NA,NA,NA,1,"07:42:00","07:42:00","07:42:00","09:40:00","07:40:00","07:30:00","07:28:00","07:23:00","08:08:00"
"Catedral_bajada","Catedral",24,40.0282043,-6.0899393,1,1,1,21,15,20,NA,NA,NA,NA,NA,NA,0,"07:49:00","07:49:00","07:49:00","10:20:00","08:20:00","08:10:00","08:09:00","08:04:00","08:49:00"
"Centro Cívico El Pilar_subida","Centro Cívico El Pilar",29,40.0382402,-6.08877254,0,1,0,NA,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"09:57:00","07:57:00","07:47:00",NA,NA,NA
"Centro Cívico La Data_subida","Centro Cívico La Data",31,40.0419913,-6.0778676,1,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:58:00","07:58:00","07:58:00",NA,NA,NA,NA,NA,NA
"C. salud San Miguel_bajada","C. salud San Miguel",16,40.0252075,-6.095246,1,0,1,23,NA,22,NA,NA,NA,NA,NA,NA,0,"07:51:00","07:51:00","07:51:00",NA,NA,NA,"08:11:00","08:06:00","08:51:00"
"Céntrica_subida","Céntrica",27,40.0376623,-6.0790029,0,0,1,NA,NA,14,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:34:00","07:29:00","08:14:00"
"Centro Cívico La Data_bajada","Centro Cívico La Data",30,40.0422666,-6.0776299,1,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:35:00","07:35:00","07:35:00",NA,NA,NA,NA,NA,NA
